position,variable,label,primary_category,tags,missing_pct,missingness_band,model1_status,model1_available_pre_outcome,model1_leakage_risk,model1_leakage_basis,model1_reason,model2_status,model2_available_pre_outcome,model2_leakage_risk,model2_leakage_basis,model2_reason,source_url
105,fin31d,Made utility payments exclusively in cash,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,91.627,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,91.63% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,91.63% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V105?name=fin31d
106,fin32,Received a wage payment,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V106?name=fin32
107,fin33,"Employed by the government, military, or public sector",FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,64.6051,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,64.61% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,64.61% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V107?name=fin33
108,fin34a,Received wage payment into a bank or similar institution account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,64.6051,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,64.61% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,64.61% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V108?name=fin34a
109,fin34b,Received a wage payment through a mobile phone,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,64.6051,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,64.61% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,64.61% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V109?name=fin34b
110,fin34c,Received a wage payment in cash,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,91.1513,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,91.15% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,91.15% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V110?name=fin34c
111,fin34d,Received a wage payment into a card,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,98.0019,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,98.00% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,98.00% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V111?name=fin34d
112,fin35,Paid an unexpected fee to withdraw wages,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,73.1684,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,73.17% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,73.17% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V112?name=fin35
113,fin36,Mode of wage withdrawal from account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,73.1684,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,73.17% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,73.17% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V113?name=fin36
114,fin36a,Person withdrawing wage from account,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V114?name=fin36a
115,fin37,Received financial support from the government,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V115?name=fin37
116,fin38,Received a public sector pension,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V116?name=fin38
117,fin39a,Received money from the government into a bank account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,77.5452,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,77.55% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,77.55% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V117?name=fin39a
118,fin39b,Received money from the government through a mobile phone,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,77.5452,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,77.55% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,77.55% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V118?name=fin39b
119,fin39c,Received money from the government only in cash,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,90.0095,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,90.01% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,90.01% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V119?name=fin39c
120,fin39d,Received money from the government into a card,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,91.0561,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,91.06% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,91.06% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V120?name=fin39d
121,fin40,Mode of government money withdrawal from account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,86.7745,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,86.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,86.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V121?name=fin40
122,fin41,Paid an unexpected fee to withdraw government money from account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,86.7745,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,86.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,86.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V122?name=fin41
123,fin41a,Person withdrawing money from the government from account,FINANCIAL,FINANCIAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;POSSIBLE_LEAKAGE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,EXCLUDE_ALL_MISSING,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,No observed values in Eswatini; conceptual leakage risk is HIGH.,https://microdata.worldbank.org/catalog/7900/variable/F1/V123?name=fin41a
124,fin42,Received an agricultural payment,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V124?name=fin42
125,fin43a,Received an agricultural payment into a bank account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,85.7279,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,85.73% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,85.73% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V125?name=fin43a
126,fin43b,Received an agricultural payment through a mobile phone,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,85.7279,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,85.73% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,85.73% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V126?name=fin43b
127,fin43c,Received an agricultural payment only in cash,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,93.1494,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,93.15% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,93.15% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V127?name=fin43c
128,fin43d,Received an agricultural payment into a card,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,96.6698,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,96.67% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,96.67% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V128?name=fin43d
129,fin44,Use phone or internet to access weather or farming information,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,85.7279,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,85.73% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,85.73% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V129?name=fin44
130,fin45,Greatest financial worry,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V130?name=fin45
131,internet_use,Used the internet within the past three months,DIGITAL,DIGITAL;CONSTRUCTED;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V131?name=internet_use
132,con1,Have a mobile phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V132?name=con1
133,con2a,Reason for no phone: lack of money,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,88.7726,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V133?name=con2a
134,con2b,Reason for no phone: mobile minutes are too expensive,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,88.7726,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V134?name=con2b
135,con2c,Reason for no mobile phone: lack of reliable coverage,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,88.7726,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V135?name=con2c
136,con2d,Reason for no mobile phone: difficulties reading or typing,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,88.7726,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V136?name=con2d
137,con2e,Reason for no mobile phone: family or community disapproval,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,88.7726,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V137?name=con2e
138,con2f,Reason for no mobile phone: worried about safety or security,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,88.7726,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V138?name=con2f
139,con2g,Reason for no mobile phone: used someone else's mobile phone,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,88.7726,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V139?name=con2g
140,con3,Main reason for not having a mobile phone,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,89.8192,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,89.82% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,89.82% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V140?name=con3
141,con4,Used someone else's mobile phone,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,88.7726,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,88.77% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V141?name=con4
142,con5,Type of phone used when using someone else's phone,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,94.6717,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,94.67% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,94.67% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V142?name=con5
143,con6,Personal SIM card used in someone else's phone,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,94.6717,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,94.67% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,94.67% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V143?name=con6
144,con7,Rules for using someone else's phone,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,94.6717,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,94.67% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,94.67% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V144?name=con7
145,con8,Someone in the household owns a mobile phone,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,94.1009,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,94.10% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,94.10% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V145?name=con8
146,con9,Type of phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V146?name=con9
147,con10,Could use whatsapp on basic phone,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,67.4596,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,67.46% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,67.46% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V147?name=con10
148,con11,SIM registered in own name,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V148?name=con11
149,con12,Mobile phone use frequency,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V149?name=con12
150,con13,Used a mobile phone in the past three months,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,98.5728,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,98.57% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,98.57% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V150?name=con13
151,con14,Read a text message,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V151?name=con14
152,con15,Can understand a text message with English letters,DIGITAL,DIGITAL;HIGH_MISSING;ALL_MISSING;LOW_VARIANCE;EXCLUDED,100.0,ALL_MISSING,EXCLUDE_ALL_MISSING,NO,LOW,Plausibly available as a profile characteristic before prediction.,No observed values in Eswatini; conceptual leakage risk is LOW.,EXCLUDE_ALL_MISSING,NO,LOW,Plausibly available as a profile characteristic before prediction.,No observed values in Eswatini; conceptual leakage risk is LOW.,https://microdata.worldbank.org/catalog/7900/variable/F1/V152?name=con15
153,con16,Sent a text message,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,22.3597,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V153?name=con16
154,con17,Preferred mode of government communication,DIGITAL,DIGITAL;EXCLUDED,11.2274,LOW_UNDER_25,EXCLUDE_CONCEPTUAL,CONDITIONAL,MODERATE,Contemporaneous preference or activity rather than stable pre-outcome access.,Contemporaneous preference or activity rather than stable pre-outcome access.,EXCLUDE_CONCEPTUAL,CONDITIONAL,MODERATE,Contemporaneous preference or activity rather than stable pre-outcome access.,Contemporaneous preference or activity rather than stable pre-outcome access.,https://microdata.worldbank.org/catalog/7900/variable/F1/V154?name=con17
155,con18,Have a PIN or password on mobile phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V155?name=con18
156,con19,Can change PIN or password,DIGITAL,DIGITAL;HIGH_MISSING;EXCLUDED,50.2379,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,50.24% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,50.24% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V156?name=con19
